SecretID,SecretName,UnlockName,Type,Korean,bul,cs_cz,de,el_gr,en_us,fr,it,ja_jp,nl_nl,pl,pt,pt_br,ro_ro,ru,spa,tr_tr,uk_ua,vi,zh_cn,UnlockedFlag
483,The Capricious,Tainted Eden,Character,더럽혀진 에덴,Tainted Eden,Tainted Eden,Tainted Eden,Tainted Eden,Tainted Eden,Éden Impur,Tainted Eden,ダメージを受けるたびに ステータス、アイテム、 トリンケット、所持品が リロールされる#アイテムは、同じプール から選択・リロールされる#自傷ダメージはリロール無し,Tainted Eden,Splamiony Eden,Tainted Eden,Tainted Eden,"When you take damage, reroll your stats, items, trinket, and consumables#Items reroll into an item from the same item pool#Self-damage doesn't reroll",Tainted Eden,Edén Corrupto,Tainted Eden,Tainted Eden,"Khi nhận sát thương, đổi lại chỉ số, vật phẩm, bùa và vật phẩm tiêu thụ của bạn#Vật phẩm đổi lại thành vật phẩm từ cùng nhóm vật phẩm#Tự gây sát thương không đổi lại",Tainted Eden,1
484,The Baleful,Tainted Lost,Character,더럽혀진 로스트,Tainted Lost,Tainted Lost,Tainted Lost,Tainted Lost,Tainted Lost,L'Égaré Impur,Tainted Lost,{{Card51}} スポーンするカードが 10%の確率で聖なるカードに 置き換わる#品質{{Quality2}}以下のアイテムは、 20%の確率でリロールされる#攻撃型のアイテムのみ スポーンする,Tainted Lost,Splamiony Zaginiony,Tainted Lost,Tainted Lost,"{{Card51}} Cards that spawn have a 10% chance to be Holy Card#Quality {{Quality2}} or less items have a 20% chance to be rerolled#Only ""offensive"" items can spawn",Tainted Lost,El Perdido Corrupto,Tainted Lost,Tainted Lost,"{{Card51}} Lá bài xuất hiện có 10% cơ hội là Holy Card#Vật phẩm chất lượng {{Quality2}} hoặc thấp hơn có 20% cơ hội được đổi lại#Chỉ vật phẩm ""tấn công"" mới có thể xuất hiện",Tainted Lost,1
485,The Harlot,Tainted Lilith,Character,더럽혀진 릴리스,Tainted Lilith,Gellovo slzné poškození je dvojnásobné,Tainted Lilith,Tainted Lilith,Tainted Lilith,Double les dégâts des larmes de Gello,"Danni delle lacrime di ""Gellò"" raddoppiati",ゲローの涙ダメージ2倍,Tainted Lilith,Splamiona Lilit ,Tainted Lilith,Tainted Lilith,Gello's tear damage is doubled,Tainted Lilith,Duplica el daño de las lágrimas de Gello,Tainted Lilith,Tainted Lilith,Sát thương nước mắt của Gello gấp đôi,格罗的泪弹伤害翻倍,1
486,The Miser,Tainted Keeper,Character,더럽혀진 키퍼,Tainted Keeper,Tainted Keeper,Tainted Keeper,Tainted Keeper,Tainted Keeper,Le Gardien Impur,Tainted Keeper,最大体力2#敵が2秒で消える コインを落とす#アイテム取得時、 15コイン支払う#お店の品ぞろえが 強化され、入店時 鍵を消費しない,Tainted Keeper,Splamiony Dozorca,Tainted Keeper,Tainted Keeper,Maximum of 2 Coin Hearts#Enemies drop coins that disappear in 2 seconds#Most item pedestals cost 15 coins#Devil deals and Angel items cost 15 or 30 coins#Shops don't require a key and have increased stock,Tainted Keeper,Keeper Corrupto,Tainted Keeper,Tainted Keeper,Tối đa 2 Trái tim xu#Kẻ thù làm rơi đồng xu biến mất sau 2 giây#Hầu hết bệ vật phẩm tốn 15 đồng xu#Giao kèo quỷ và vật phẩm Thiên thần tốn 15 hoặc 30 đồng xu#Cửa hàng không cần chìa khóa và có hàng tồn kho tăng,Tainted Keeper,1
487,The Empty,Tainted Apollyon,Character,더럽혀진 아폴리온,Tainted Apollyon,Tainted Apollyon,Tainted Apollyon,Tainted Apollyon,Tainted Apollyon,Apollyon Impur,Tainted Apollyon,Tainted Apollyon,Tainted Apollyon,Splamiony Apollyon,Tainted Apollyon,Tainted Apollyon,Tainted Apollyon,Tainted Apollyon,Apolión Corrupto,Tainted Apollyon,Tainted Apollyon,Tainted Apollyon,Tainted Apollyon,1
488,The Fettered,Tainted Forgotten,Character,더럽혀진 포가튼,Tainted Forgotten,Tainted Forgotten,Tainted Forgotten,Tainted Forgotten,Tainted Forgotten,Le Délaissé Impur,Tainted Forgotten,移動できない無敵の フォーガットンを、 攻撃できないソウルが 運び投げて戦う#爆弾はフォーガットンの 位置に置かれる#赤ハートを持てない#体力が増える効果は、 代わりに青ハート+1,Tainted Forgotten,Splamiony Zapomniany,Tainted Forgotten,Tainted Forgotten,The Forgotten is an immobile bone pile that is picked up and thrown by The Soul for 3x damage#Only The Soul can take damage#Bombs are placed at Forgotten's location#Can't have Red Hearts#{{SoulHeart}} Health ups grant Soul Hearts,Tainted Forgotten,El Olvidado Corrupto,Tainted Forgotten,Tainted Forgotten,The Forgotten là một đống xương bất động được The Soul nhặt và ném gây sát thương gấp 3#Chỉ The Soul có thể nhận sát thương#Bom được đặt tại vị trí của Forgotten#Không thể có Trái tim đỏ#{{SoulHeart}} Tăng máu tặng Trái tim hồn,Tainted Forgotten,1
489,The Zealot,Tainted Bethany,Character,더럽혀진 베서니,Tainted Bethany,Tainted Bethany,Tainted Bethany,Tainted Bethany,Tainted Bethany,Béthanie Impure,Tainted Bethany,赤ハートを持てない 代わりにアクティブ アイテムのチャージ として使用できる#体力が増える効果は、 代わりに青ハート+1と チャージ+12を得る#ステータスアップの 効果が75%に抑制される,Tainted Bethany,Splamiona Betania,Tainted Bethany,Tainted Bethany,{{Heart}} Use Red Hearts to charge your active item#Can't have Red Hearts#{{SoulHeart}} Health ups grant Soul Hearts and blood charges#Stat increases are only 75% effective,Tainted Bethany,Bethany Corrupta,Tainted Bethany,Tainted Bethany,{{Heart}} Dùng Trái tim đỏ để nạp vật phẩm hoạt động#Không thể có Trái tim đỏ#{{SoulHeart}} Tăng máu tặng Trái tim hồn và lần nạp máu#Tăng chỉ số chỉ hiệu quả 75%,Tainted Bethany,1
490,The Deserter,Tainted Jacob,Character,더럽혀진 야곱과 에사우,Tainted Jacob,Tainted Jacob,Tainted Jacob,Tainted Jacob,Tainted Jacob,Jacob Impur,Tainted Jacob,敵対化したエサウが ヤコブを追い回す#接近すると、エサウが 突進を始め、進路上の 敵に大ダメージを与える#エサウと接触すると、 ヤコブは次のフロアまで ザ・ロスト状態になる#ロスト時、悪魔取引が 一回無料になる,Tainted Jacob,Splamiony Jakub,Tainted Jacob,Tainted Jacob,"Dark Esau chases you, charging towards you when close#The charge does a lot of damage to enemies#If he hits you, you turn into a ghost that dies in one hit for the rest of the floor#While a ghost, one devil deal per room can be taken for free",Tainted Jacob,Jacob Corrupto,Tainted Jacob,Tainted Jacob,"Dark Esau đuổi theo bạn, lao về phía bạn khi gần#Đòn lao gây nhiều sát thương cho kẻ thù#Nếu trúng bạn, bạn biến thành ma chết trong một phát cho đến hết tầng#Khi là ma, mỗi phòng có thể lấy một giao kèo quỷ miễn phí",Tainted Jacob,1
491,Glitched Crown,Glitched Crown,Item,글리치 왕관,Glitched Crown,Poškozená Koruna,Geflickte Krone,Glitched Crown,Glitched Crown,Couronne Corrompue,Corona Glitchata,バグったクラウン,Glitched Crown,Zglitchowana Korona,Glitched Crown,Glitched Crown,Coroană Glichuită,Глючная корона,Corona Glitcheada,Hatalı Taç,Глючна корона,Glitched Crown,错误王冠,1
492,Belly Jelly,Belly Jelly,Item,벨리 젤리,Belly Jelly,Břišní Želé,Bauchgelee,Belly Jelly,Belly Jelly,Haricot Confit,Gelatina di Fagiolo,ベリー ジェリー,Belly Jelly,Belly Jelly,Belly Jelly,Belly Jelly,Belly Jelly,Жевательное драже,Belly Jelly,Göbek Jelatini,Желейка,Belly Jelly,肚肚软糖,1
493,Blue Key,Blue Key,Trinket,푸른 열쇠,Blue Key,Blue Key,Blue Key,Blue Key,Blue Key,Blue Key,Blue Key,Blue Key,Blue Key,Blue Key,Blue Key,Blue Key,Blue Key,Blue Key,Blue Key,Blue Key,Blue Key,Blue Key,Blue Key,1
494,Sanguine Bond,Sanguine Bond,Item,핏빛 결속,Sanguine Bond,Krvežíznivé Pouto,Sanguine Bindung,Sanguine Bond,Sanguine Bond,Pacte de Sang,Legame di Sangue,サングイン ボンド,Sanguine Bond,Krwista więź,Sanguine Bond,Sanguine Bond,Legătură de Sânge,Кровавые узы,Vínculo de Sangre,Kan Bağı,Кривавий зв'язок,Sanguine Bond,血色羁绊,1
495,The Swarm,The Swarm,Item,파리 군단,The Swarm,Roj,Der Schwarm,The Swarm,The Swarm,La Nuée,Lo Sciame,ザ スウォーム,The Swarm,rój,The Swarm,The Swarm,Roiul,Рой,El Enjambre,Sürü,Рій,The Swarm,虫群,1
496,Heartbreak,Heartbreak,Item,비탄,Heartbreak,Zlomené Srdce,Herzschmerz,Heartbreak,Heartbreak,Brise-Cœur,Crepacuore,ハートブレイク,Heartbreak,złamane serce,Heartbreak,Heartbreak,Rănit în Dragoste,Горе,Corazón Roto,Kalp Kırıklığı,Розрив серця,Heartbreak,心碎,1
497,Larynx,Larynx,Item,후두,Larynx,Hrtan,Kehlkopf,Larynx,Larynx,Larynx,Laringe,ラリンクス,Larynx,Larynx,Larynx,Larynx,Laringe,Глотка,Laringe,Gırtlak,Гортань,Larynx,声带,1
498,Azazel's Rage,Azazel's Rage,Item,아자젤의 분노,Azazel's Rage,Azazelův Hněv,Azazels Zorn,Azazel's Rage,Azazel's Rage,Rage d'Azazel,Furia di Azazel,アザゼルの怒り,Azazel's Rage,Wściekłośc Azazela,Azazel's Rage,Azazel's Rage,Furia lui Azazel,Ярость Азазеля,La Ira de Azazel,Azazel'in Siniri,Лють Азазеля,Azazel's Rage,阿撒泻勒之怒,1
499,Salvation,Salvation,Item,구원,Salvation,Spása,Heilung,Salvation,Salvation,Salvation,Salvezza,救済,Salvation,Salvation,Salvation,Salvation,Mântuire,Спасение,Salvación,Kurtuluş,Спасіння,Salvation,救恩,1
500,TMTRAINER,TMTRAINER,Item,,TMTRAINER,TMTRAINER,TMTRAINER,TMTRAINER,TMTRAINER,TMTRAINER,TMTRAINER,バグ技,TMTRAINER,TMTRAINER,TMTRAINER,TMTRAINER,TMTRAINER,ТМТРЕЙНЕР,TMTRAINER,TMTRAINER,ТМТРЕЙНЕР,TMTRAINER,错误技,1
501,Sacred Orb,Sacred Orb,Item,성스러운 오브,Sacred Orb,Posvátný Orb,Heilige Kugel,Sacred Orb,Sacred Orb,Orbe Sacré,Sfera Sacra,セイクリッド オーブ,Sacred Orb,Sacred Orb,Sacred Orb,Sacred Orb,Glob Sacru,Священный шар,Orbe Sagrado,Kutsal Küre,Священна куля,Sacred Orb,十字圣球,1
502,Twisted Pair,Twisted Pair,Item,뒤틀린 한 쌍,Twisted Pair,Zvrácený Pár,Verdrehtes Paar,Twisted Pair,Twisted Pair,Jumeaux Malicieux,Diabolico Duo,ツイステッド ペア,Twisted Pair,Pokręcona para,Twisted Pair,Twisted Pair,Pereche Răsucită,Нечестивая парочка,Par Retorcido,Dönen İkili,Химерна парочка,Twisted Pair,作孽双子,1
503,Strawman,Strawman,Item,밀짚인형,Strawman,Slamák,Strohmann,Strawman,Strawman,Gardien en Peluche,Fantoccio,ストローマン,Strawman,Straszydło,Strawman,Strawman,Sperietoare,Соломенное чучело,Hombre de Paja,Korkuluk,Опудало,Strawman,稻草人,1
504,Echo Chamber,Echo Chamber,Item,반향효과,Echo Chamber,Echo Komora,Echo-Kammer,Echo Chamber,Echo Chamber,Résonance,Camera di Risonanza,エコー チェンバー,Echo Chamber,Echo Komnata,Echo Chamber,Echo Chamber,Ecou,Эхо-камера,Cámara de Eco,Eko Çemberi,Ехокамера,Echo Chamber,回声室,1
505,Isaac's Tomb,Isaac's Tomb,Item,아이작의 무덤,Isaac's Tomb,Izákova Hrobka,Isaacs Grab,Isaac's Tomb,Isaac's Tomb,Tombeau d'Isaac,Tomba di Isaac,アイザックの墓,Isaac's Tomb,Grobowiec Isaaca,Isaac's Tomb,Isaac's Tomb,Sarcofagul lui Isaac,Гробница Исаака,La Tumba de Isaac,Isaac'in Mezarı,Айзекова могила,Isaac's Tomb,以撒的坟墓,1
506,Vengeful Spirit,Vengeful Spirit,Item,복수심의 영혼,Vengeful Spirit,Pomstychtivá Duše,Racheerfüllter Geist,Vengeful Spirit,Vengeful Spirit,Esprit Vengeur,Spirito Vendicativo,生霊,Vengeful Spirit,Mściwy duch,Vengeful Spirit,Vengeful Spirit,Spirit Răzbunător,Мстительный дух,Espíritu de venganza,İntikam Ruhu,Мстивий дух,Vengeful Spirit,复仇之魂,1
507,Esau Jr.,Esau Jr.,Item,에사우 주니어,Esau Jr.,Ezau ml.,Esau Jr.,Esau Jr.,Esau Jr.,Ésaü Junior,Esau Jr.,エサウ Jr.,Esau Jr.,Esau Jr.,Esau Jr.,Esau Jr.,Esau Jr.,Исав Младший,Esau Junior,Esau Jr.,Ісав молодший,Esau Jr.,小以扫,1
508,Bloody Mary,Bloody Mary,None,unlock challenge,Bloody Mary,Bloody Mary,Bloody Mary,Bloody Mary,Bloody Mary,Bloody Mary,Bloody Mary,Bloody Mary,Bloody Mary,Bloody Mary,Bloody Mary,Bloody Mary,Bloody Mary,Bloody Mary,Bloody Mary,Bloody Mary,Bloody Mary,Bloody Mary,Bloody Mary,1
509,Baptism by Fire,Baptism by Fire,None,unlock challenge,Baptism by Fire,Baptism by Fire,Baptism by Fire,Baptism by Fire,Baptism by Fire,Baptism by Fire,Baptism by Fire,Baptism by Fire,Baptism by Fire,Baptism by Fire,Baptism by Fire,Baptism by Fire,Baptism by Fire,Baptism by Fire,Baptism by Fire,Baptism by Fire,Baptism by Fire,Baptism by Fire,Baptism by Fire,1
510,Isaac's Awakening,Isaac's Awakening,None,unlock challenge,Isaac's Awakening,Isaac's Awakening,Isaac's Awakening,Isaac's Awakening,Isaac's Awakening,Isaac's Awakening,Isaac's Awakening,Isaac's Awakening,Isaac's Awakening,Isaac's Awakening,Isaac's Awakening,Isaac's Awakening,Isaac's Awakening,Isaac's Awakening,Isaac's Awakening,Isaac's Awakening,Isaac's Awakening,Isaac's Awakening,Isaac's Awakening,1
511,Seeing Double,Seeing Double,None,unlock challenge,Seeing Double,Seeing Double,Seeing Double,Seeing Double,Seeing Double,Seeing Double,Seeing Double,Seeing Double,Seeing Double,Seeing Double,Seeing Double,Seeing Double,Seeing Double,Seeing Double,Seeing Double,Seeing Double,Seeing Double,Seeing Double,Seeing Double,1
512,Pica Run,Pica Run,None,unlock challenge,Pica Run,Pica Run,Pica Run,Pica Run,Pica Run,Pica Run,Pica Run,Pica Run,Pica Run,Pica Run,Pica Run,Pica Run,Pica Run,Pica Run,Pica Run,Pica Run,Pica Run,Pica Run,Pica Run,1
513,Hot Potato,Hot Potato,None,unlock challenge,Hot Potato,Hot Potato,Hot Potato,Hot Potato,Hot Potato,Hot Potato,Hot Potato,Hot Potato,Hot Potato,Hot Potato,Hot Potato,Hot Potato,Hot Potato,Hot Potato,Hot Potato,Hot Potato,Hot Potato,Hot Potato,Hot Potato,1
514,Cantripped!,Cantripped!,None,unlock challenge,Cantripped!,Cantripped!,Cantripped!,Cantripped!,Cantripped!,Cantripped!,Cantripped!,Cantripped!,Cantripped!,Cantripped!,Cantripped!,Cantripped!,Cantripped!,Cantripped!,Cantripped!,Cantripped!,Cantripped!,Cantripped!,Cantripped!,1
515,Red Redemption,Red Redemption,None,unlock challenge,Red Redemption,Red Redemption,Red Redemption,Red Redemption,Red Redemption,Red Redemption,Red Redemption,Red Redemption,Red Redemption,Red Redemption,Red Redemption,Red Redemption,Red Redemption,Red Redemption,Red Redemption,Red Redemption,Red Redemption,Red Redemption,Red Redemption,1
516,DELETE THIS,DELETE THIS,None,,DELETE THIS,DELETE THIS,DELETE THIS,DELETE THIS,DELETE THIS,DELETE THIS,DELETE THIS,DELETE THIS,DELETE THIS,DELETE THIS,DELETE THIS,DELETE THIS,DELETE THIS,DELETE THIS,DELETE THIS,DELETE THIS,DELETE THIS,DELETE THIS,DELETE THIS,1
517,Dirty Mind,Dirty Mind,Item,더러운 군집,Dirty Mind,Špinavá Mysl,Schmutziger Verstand,Dirty Mind,Dirty Mind,Coprophilie,Mente Sporca,ダーティ マインド,Dirty Mind,Brudne myśli,Dirty Mind,Dirty Mind,Minte Murdară,Грязные мысли,Mente sucia,Pis Akıl,Брудні думки,Dirty Mind,龌龊之心,1
518,Sigil of Baphomet,Sigil of Baphomet,Trinket,바포메트의 인장,Sigil of Baphomet,Sigil of Baphomet,Sigil of Baphomet,Sigil of Baphomet,Sigil of Baphomet,Sigil of Baphomet,Sigil of Baphomet,Sigil of Baphomet,Sigil of Baphomet,Sigil of Baphomet,Sigil of Baphomet,Sigil of Baphomet,Sigil of Baphomet,Sigil of Baphomet,Sigil of Baphomet,Sigil of Baphomet,Sigil of Baphomet,Sigil of Baphomet,Sigil of Baphomet,1
519,Purgatory,Purgatory,Item,연옥,Purgatory,Očistec,Fegefeuer,Purgatory,Purgatory,Purgatoire,Purgatorio,パーガトリー,Purgatory,Czyściec,Purgatory,Purgatory,Purgatoriu,Чистилище,Purgatorio,Araf,Чистилище,Purgatory,炼狱恶鬼,1
520,Spirit Sword,Spirit Sword,Item,영혼검,Spirit Sword,Duchovní Meč,Geistschwert,Spirit Sword,Spirit Sword,Épée de l'Esprit,Spada dello Spirito,スピリット ソード,Spirit Sword,Duchowe ostrze,Spirit Sword,Spirit Sword,Sabie Spirit,Духовный меч,Espada espiritual,Ruh Kılıcı,Меч Духа,Spirit Sword,英灵剑,1
521,Broken Glasses,Broken Glasses,Trinket,깨진 안경,Broken Glasses,Broken Glasses,Broken Glasses,Broken Glasses,Broken Glasses,Broken Glasses,Broken Glasses,Broken Glasses,Broken Glasses,Broken Glasses,Broken Glasses,Broken Glasses,Broken Glasses,Broken Glasses,Broken Glasses,Broken Glasses,Broken Glasses,Broken Glasses,Broken Glasses,1
522,Ice Cube,Ice Cube,Trinket,얼음 큐브,Ice Cube,Ice Cube,Ice Cube,Ice Cube,Ice Cube,Ice Cube,Ice Cube,Ice Cube,Ice Cube,Ice Cube,Ice Cube,Ice Cube,Ice Cube,Ice Cube,Ice Cube,Ice Cube,Ice Cube,Ice Cube,Ice Cube,1
523,Charged Penny,Charged Penny,Trinket,충전된 동전,Charged Penny,Charged Penny,Charged Penny,Charged Penny,Charged Penny,Charged Penny,Charged Penny,Charged Penny,Charged Penny,Charged Penny,Charged Penny,Charged Penny,Charged Penny,Charged Penny,Charged Penny,Charged Penny,Charged Penny,Charged Penny,Charged Penny,1
524,The Fool,The Fool?,Card,바보?,The Fool?,The Fool?,The Fool?,The Fool?,The Fool?,The Fool?,The Fool?,The Fool?,The Fool?,The Fool?,The Fool?,The Fool?,The Fool?,The Fool?,The Fool?,The Fool?,The Fool?,The Fool?,The Fool?,1
525,The Magician,The Magician?,Card,마법사?,The Magician?,The Magician?,The Magician?,The Magician?,The Magician?,The Magician?,The Magician?,The Magician?,The Magician?,The Magician?,The Magician?,The Magician?,The Magician?,The Magician?,The Magician?,The Magician?,The Magician?,The Magician?,The Magician?,1
526,The High Priestess,The High Priestess?,Card,여교황?,The High Priestess?,The High Priestess?,The High Priestess?,The High Priestess?,The High Priestess?,The High Priestess?,The High Priestess?,The High Priestess?,The High Priestess?,The High Priestess?,The High Priestess?,The High Priestess?,The High Priestess?,The High Priestess?,The High Priestess?,The High Priestess?,The High Priestess?,The High Priestess?,The High Priestess?,1
527,The Empress,The Empress?,Card,여제?,The Empress?,The Empress?,The Empress?,The Empress?,The Empress?,The Empress?,The Empress?,The Empress?,The Empress?,The Empress?,The Empress?,The Empress?,The Empress?,The Empress?,The Empress?,The Empress?,The Empress?,The Empress?,The Empress?,1
528,The Emperor,The Emperor?,Card,황제?,The Emperor?,The Emperor?,The Emperor?,The Emperor?,The Emperor?,The Emperor?,The Emperor?,The Emperor?,The Emperor?,The Emperor?,The Emperor?,The Emperor?,The Emperor?,The Emperor?,The Emperor?,The Emperor?,The Emperor?,The Emperor?,The Emperor?,1
529,The Hierophant,The Hierophant?,Card,교황?,The Hierophant?,The Hierophant?,The Hierophant?,The Hierophant?,The Hierophant?,The Hierophant?,The Hierophant?,The Hierophant?,The Hierophant?,The Hierophant?,The Hierophant?,The Hierophant?,The Hierophant?,The Hierophant?,The Hierophant?,The Hierophant?,The Hierophant?,The Hierophant?,The Hierophant?,1
530,The Lovers,The Lovers?,Card,연인?,The Lovers?,The Lovers?,The Lovers?,The Lovers?,The Lovers?,The Lovers?,The Lovers?,The Lovers?,The Lovers?,The Lovers?,The Lovers?,The Lovers?,The Lovers?,The Lovers?,The Lovers?,The Lovers?,The Lovers?,The Lovers?,The Lovers?,1
531,The Chariot,The Chariot?,Card,전차?,The Chariot?,The Chariot?,The Chariot?,The Chariot?,The Chariot?,The Chariot?,The Chariot?,The Chariot?,The Chariot?,The Chariot?,The Chariot?,The Chariot?,The Chariot?,The Chariot?,The Chariot?,The Chariot?,The Chariot?,The Chariot?,The Chariot?,1
532,Justice,Justice?,Card,정의?,Justice?,Justice?,Justice?,Justice?,Justice?,Justice?,Justice?,Justice?,Justice?,Justice?,Justice?,Justice?,Justice?,Justice?,Justice?,Justice?,Justice?,Justice?,Justice?,1
533,The Hermit,The Hermit?,Card,은둔자?,The Hermit?,The Hermit?,The Hermit?,The Hermit?,The Hermit?,The Hermit?,The Hermit?,The Hermit?,The Hermit?,The Hermit?,The Hermit?,The Hermit?,The Hermit?,The Hermit?,The Hermit?,The Hermit?,The Hermit?,The Hermit?,The Hermit?,1
534,Wheel of Fortune,Wheel of Fortune?,Card,운명의 수레바퀴?,Wheel of Fortune?,Wheel of Fortune?,Wheel of Fortune?,Wheel of Fortune?,Wheel of Fortune?,Wheel of Fortune?,Wheel of Fortune?,Wheel of Fortune?,Wheel of Fortune?,Wheel of Fortune?,Wheel of Fortune?,Wheel of Fortune?,Wheel of Fortune?,Wheel of Fortune?,Wheel of Fortune?,Wheel of Fortune?,Wheel of Fortune?,Wheel of Fortune?,Wheel of Fortune?,1
535,Strength,Strength?,Card,힘?,Strength?,Strength?,Strength?,Strength?,Strength?,Strength?,Strength?,Strength?,Strength?,Strength?,Strength?,Strength?,Strength?,Strength?,Strength?,Strength?,Strength?,Strength?,Strength?,1
536,The Hanged Man,The Hanged Man?,Card,매달린 남자?,The Hanged Man?,The Hanged Man?,The Hanged Man?,The Hanged Man?,The Hanged Man?,The Hanged Man?,The Hanged Man?,The Hanged Man?,The Hanged Man?,The Hanged Man?,The Hanged Man?,The Hanged Man?,The Hanged Man?,The Hanged Man?,The Hanged Man?,The Hanged Man?,The Hanged Man?,The Hanged Man?,The Hanged Man?,1
537,Death,Death?,Card,죽음?,Death?,Death?,Death?,Death?,Death?,Death?,Death?,Death?,Death?,Death?,Death?,Death?,Death?,Death?,Death?,Death?,Death?,Death?,Death?,1
538,Temperance,Temperance?,Card,절제?,Temperance?,Temperance?,Temperance?,Temperance?,Temperance?,Temperance?,Temperance?,Temperance?,Temperance?,Temperance?,Temperance?,Temperance?,Temperance?,Temperance?,Temperance?,Temperance?,Temperance?,Temperance?,Temperance?,1
539,The Devil,The Devil?,Card,악마?,The Devil?,The Devil?,The Devil?,The Devil?,The Devil?,The Devil?,The Devil?,The Devil?,The Devil?,The Devil?,The Devil?,The Devil?,The Devil?,The Devil?,The Devil?,The Devil?,The Devil?,The Devil?,The Devil?,1
540,The Tower,The Tower?,Card,탑?,The Tower?,The Tower?,The Tower?,The Tower?,The Tower?,The Tower?,The Tower?,The Tower?,The Tower?,The Tower?,The Tower?,The Tower?,The Tower?,The Tower?,The Tower?,The Tower?,The Tower?,The Tower?,The Tower?,1
541,The Stars,The Stars?,Card,별?,The Stars?,The Stars?,The Stars?,The Stars?,The Stars?,The Stars?,The Stars?,The Stars?,The Stars?,The Stars?,The Stars?,The Stars?,The Stars?,The Stars?,The Stars?,The Stars?,The Stars?,The Stars?,The Stars?,1
542,The Sun and the Moon,"The Sun?,the Moon?",Card,"해?,달?","The Sun?,the Moon?","The Sun?,the Moon?","The Sun?,the Moon?","The Sun?,the Moon?","The Sun?,the Moon?","The Sun?,the Moon?","The Sun?,the Moon?","The Sun?,the Moon?","The Sun?,the Moon?","The Sun?,the Moon?","The Sun?,the Moon?","The Sun?,the Moon?","The Sun?,the Moon?","The Sun?,the Moon?","The Sun?,the Moon?","The Sun?,the Moon?","The Sun?,the Moon?","The Sun?,the Moon?","The Sun?,the Moon?",1
543,Judgement,Judgement?,Card,심판?,Judgement?,Judgement?,Judgement?,Judgement?,Judgement?,Judgement?,Judgement?,Judgement?,Judgement?,Judgement?,Judgement?,Judgement?,Judgement?,Judgement?,Judgement?,Judgement?,Judgement?,Judgement?,Judgement?,1
544,The World,The World?,Card,세계?,The World?,The World?,The World?,The World?,The World?,The World?,The World?,The World?,The World?,The World?,The World?,The World?,The World?,The World?,The World?,The World?,The World?,The World?,The World?,1
545,Old Capacitor,Old Capacitor,Trinket,오래된 축전기,Old Capacitor,Old Capacitor,Old Capacitor,Old Capacitor,Old Capacitor,Old Capacitor,Old Capacitor,Old Capacitor,Old Capacitor,Old Capacitor,Old Capacitor,Old Capacitor,Old Capacitor,Old Capacitor,Old Capacitor,Old Capacitor,Old Capacitor,Old Capacitor,Old Capacitor,1
546,Brimstone Bombs,Brimstone Bombs,Item,유황불 폭탄,Brimstone Bombs,Brimstonové Bomby,Schwefelbomben,Brimstone Bombs,Brimstone Bombs,Bombes Sulfureuses,Bombe Zolfo Fuso,ブリムストーン ボム,Brimstone Bombs,Bomby Brimstonowe,Brimstone Bombs,Brimstone Bombs,Bombe Brimstone,Серные бомбы,Bombas de azufre,Brimstone Bombası,Сірчані бомби,Brimstone Bombs,硫磺火炸弹,1
547,Mega Mush,Mega Mush,Item,거대버섯,Mega Mush,Mega Houba,Mega-Pilz,Mega Mush,Mega Mush,Méga Champi,Mega Fungo,メガ　マッシュ,Mega Mush,Mega grzyb,Mega Mush,Mega Mush,Mega Ciupercă,Мегагриб,Mega seta,Mega Mantar,Мегагриб,Mega Mush,超级蘑菇,1
548,Mom's Lock,Mom's Lock,Trinket,엄마의 머리뭉치,Mom's Lock,Mom's Lock,Mom's Lock,Mom's Lock,Mom's Lock,Mom's Lock,Mom's Lock,Mom's Lock,Mom's Lock,Mom's Lock,Mom's Lock,Mom's Lock,Mom's Lock,Mom's Lock,Mom's Lock,Mom's Lock,Mom's Lock,Mom's Lock,Mom's Lock,1
549,Dice Bag,Dice Bag,Trinket,주사위 가방,Dice Bag,Dice Bag,Dice Bag,Dice Bag,Dice Bag,Dice Bag,Dice Bag,Dice Bag,Dice Bag,Dice Bag,Dice Bag,Dice Bag,Dice Bag,Dice Bag,Dice Bag,Dice Bag,Dice Bag,Dice Bag,Dice Bag,1
550,Holy Crown,Holy Crown,Trinket,신성한 왕관,Holy Crown,Holy Crown,Holy Crown,Holy Crown,Holy Crown,Holy Crown,Holy Crown,Holy Crown,Holy Crown,Holy Crown,Holy Crown,Holy Crown,Holy Crown,Holy Crown,Holy Crown,Holy Crown,Holy Crown,Holy Crown,Holy Crown,1
551,Mother's Kiss,Mother's Kiss,Trinket,어머니의 키스,Mother's Kiss,Mother's Kiss,Mother's Kiss,Mother's Kiss,Mother's Kiss,Mother's Kiss,Mother's Kiss,Mother's Kiss,Mother's Kiss,Mother's Kiss,Mother's Kiss,Mother's Kiss,Mother's Kiss,Mother's Kiss,Mother's Kiss,Mother's Kiss,Mother's Kiss,Mother's Kiss,Mother's Kiss,1
552,Gilded Key,Gilded Key,Trinket,도금 열쇠,Gilded Key,Gilded Key,Gilded Key,Gilded Key,Gilded Key,Gilded Key,Gilded Key,Gilded Key,Gilded Key,Gilded Key,Gilded Key,Gilded Key,Gilded Key,Gilded Key,Gilded Key,Gilded Key,Gilded Key,Gilded Key,Gilded Key,1
